,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
22,2,70,0.005,"[[0.9166666666666666, 0.9126637578010559, 231, 229], [0.9156626506024097, 0.9082969427108765, 460, 229], [0.9237288135593219, 0.9213973879814148, 689, 229], [0.1788617886178862, 0.5589519739151001, 918, 229], [0.7682119205298014, 0.6943231225013733, 1147, 229]]",0.7406263679952171,0.7991266369819641
23,2,70,0.01,"[[0.8947368421052632, 0.8951964974403381, 231, 229], [0.8550185873605948, 0.8296943306922913, 460, 229], [0.9282700421940928, 0.9257642030715942, 689, 229], [0.7730496453900709, 0.72052401304245, 918, 229], [0.8243727598566308, 0.7860261797904968, 1147, 229]]",0.8550895753813306,0.8314410448074341
24,3,10,0.001,"[[0.8319327731092437, 0.8253275156021118, 231, 229], [0.9205020920502093, 0.9170305728912354, 460, 229], [0.8256880733944952, 0.8340611457824707, 689, 229], [0.7077922077922079, 0.6069868803024292, 918, 229], [0.9504132231404958, 0.9475982785224915, 1147, 229]]",0.8472656738973304,0.8262008786201477
25,3,10,0.005,"[[0.9189189189189189, 0.9082969427108765, 231, 229], [0.9327731092436974, 0.9301310181617737, 460, 229], [0.8787878787878788, 0.8602620363235474, 689, 229], [0.5605095541401275, 0.6986899375915527, 918, 229], [0.8826291079812206, 0.8908296823501587, 1147, 229]]",0.8347237138143686,0.8576419234275818
26,3,10,0.01,"[[0.9067796610169492, 0.903930127620697, 231, 229], [0.8871595330739299, 0.8733624219894409, 460, 229], [0.8540145985401458, 0.8253275156021118, 689, 229], [0.7171052631578948, 0.624454140663147, 918, 229], [0.8197879858657243, 0.7772925496101379, 1147, 229]]",0.8369694083309287,0.8008733510971069
27,3,30,0.001,"[[0.9069767441860465, 0.8951964974403381, 231, 229], [0.9288702928870292, 0.9257642030715942, 460, 229], [0.4313725490196078, 0.6200873255729675, 689, 229], [0.776595744680851, 0.8165938854217529, 918, 229], [0.7959183673469388, 0.8253275156021118, 1147, 229]]",0.7679467396240947,0.8165938854217529
28,3,30,0.005,"[[0.9212598425196851, 0.9126637578010559, 231, 229], [0.8735632183908045, 0.8558952212333679, 460, 229], [0.7484276729559749, 0.6506550312042236, 689, 229], [0.47945205479452047, 0.6681222915649414, 918, 229], [0.7835051546391754, 0.8165938854217529, 1147, 229]]",0.7612415886600321,0.7807860374450684
29,3,30,0.01,"[[0.9296875000000001, 0.9213973879814148, 231, 229], [0.940677966101695, 0.9388646483421326, 460, 229], [0.8125, 0.7641921639442444, 689, 229], [0.8326848249027238, 0.8122270703315735, 918, 229], [0.49350649350649356, 0.6593886613845825, 1147, 229]]",0.8018113569021825,0.8192139863967896
30,3,50,0.001,"[[0.9132075471698112, 0.8995633125305176, 231, 229], [0.9276595744680851, 0.9257642030715942, 460, 229], [0.7986348122866894, 0.7423580884933472, 689, 229], [0.7389830508474576, 0.663755476474762, 918, 229], [0.7641196013289036, 0.6899563074111938, 1147, 229]]",0.8285209172201894,0.7842794775962829
31,3,50,0.005,"[[0.9022556390977443, 0.8864628672599792, 231, 229], [0.9090909090909091, 0.903930127620697, 460, 229], [0.7864077669902911, 0.807860255241394, 689, 229], [0.8186528497409326, 0.847161591053009, 918, 229], [0.8984375, 0.8864628672599792, 1147, 229]]",0.8629689329839753,0.8663755416870117
32,3,50,0.01,"[[0.7575757575757575, 0.7903929948806763, 231, 229], [0.9082568807339451, 0.9126637578010559, 460, 229], [0.7737704918032787, 0.6986899375915527, 689, 229], [0.7009646302250803, 0.5938864350318909, 918, 229], [0.8316831683168318, 0.8515284061431885, 1147, 229]]",0.7944501857309787,0.7694323062896729
33,3,70,0.001,"[[0.9300411522633746, 0.9257642030715942, 231, 229], [0.8702290076335878, 0.8515284061431885, 460, 229], [0.8197879858657244, 0.7772925496101379, 689, 229], [0.7150837988826816, 0.7772925496101379, 918, 229], [0.9576271186440678, 0.9563318490982056, 1147, 229]]",0.8585538126578871,0.8576419115066528
34,3,70,0.005,"[[0.8840579710144928, 0.8602620363235474, 231, 229], [0.8778625954198473, 0.8602620363235474, 460, 229], [0.9166666666666667, 0.9126637578010559, 689, 229], [0.711864406779661, 0.7772925496101379, 918, 229], [0.34285714285714286, 0.5982532501220703, 1147, 229]]",0.7466617565475622,0.8017467260360718
35,3,70,0.01,"[[0.8817204301075269, 0.8558952212333679, 231, 229], [0.9047619047619048, 0.8951964974403381, 460, 229], [0.725609756097561, 0.6069868803024292, 689, 229], [0.7543252595155711, 0.6899563074111938, 918, 229], [0.8712121212121211, 0.8515284061431885, 1147, 229]]",0.827525894338937,0.7799126625061035
